problem,category,source,submission_id,date,language,result,time_seconds,memory_kb,dmoj_url
16bitswonly,Other,solutions/Other/16bitswonly.cpp,4740484,2022-08-01T14:54:05+00:00,CPP14,AC,0.043941755,3516.0,https://dmoj.ca/problem/16bitswonly
2spooky4me,Other,solutions/Other/2spooky4me.cpp,4850902,2022-09-18T12:46:42+00:00,CPP14,AC,0.054783259,4372.0,https://dmoj.ca/problem/2spooky4me
a1,Other,solutions/Other/a1.cpp,4744367,2022-08-02T23:32:34+00:00,CPP14,AC,0.00350488,3464.0,https://dmoj.ca/problem/a1
a2,Other,solutions/Other/a2.cpp,4748543,2022-08-05T00:11:18+00:00,CPP14,AC,0.009981032,3532.0,https://dmoj.ca/problem/a2
a3,Other,solutions/Other/a3.cpp,4748830,2022-08-05T03:25:09+00:00,CPP14,AC,0.003345222,3508.0,https://dmoj.ca/problem/a3
a4b1,Other,solutions/Other/a4b1.cpp,4756091,2022-08-08T01:10:02+00:00,CPP14,AC,0.006979816,3484.0,https://dmoj.ca/problem/a4b1
aac1p1,Other,solutions/Other/aac1p1.cpp,4784764,2022-08-20T18:05:21+00:00,CPP14,AC,0.104317568,3468.0,https://dmoj.ca/problem/aac1p1
aac1p3,Other,solutions/Other/aac1p3.py,6340081,2024-04-13T16:00:06+00:00,PYPY3,AC,2.088902983,70208.0,https://dmoj.ca/problem/aac1p3
aac2p0,Other,solutions/Other/aac2p0.cpp,4795511,2022-08-24T20:37:50+00:00,CPP14,AC,0.028629633,3440.0,https://dmoj.ca/problem/aac2p0
aac3p1,Other,solutions/Other/aac3p1.cpp,4786519,2022-08-21T01:26:38+00:00,CPP14,AC,0.065326199,3428.0,https://dmoj.ca/problem/aac3p1
aac3p2,Other,solutions/Other/aac3p2.cpp,4971505,2022-10-26T01:39:35+00:00,CPP14,AC,0.076370802,3384.0,https://dmoj.ca/problem/aac3p2
aac3p3,Other,solutions/Other/aac3p3.cpp,5543905,2023-05-16T16:09:00+00:00,CPP14,AC,1.707059363,11984.0,https://dmoj.ca/problem/aac3p3
aac4p2,Other,solutions/Other/aac4p2.cpp,6044748,2024-01-02T15:03:26+00:00,CPP20,AC,1.315704119,6576.0,https://dmoj.ca/problem/aac4p2
aac5p1,Other,solutions/Other/aac5p1.cpp,5181044,2023-01-03T11:32:31+00:00,CPP14,AC,0.556039842,3460.0,https://dmoj.ca/problem/aac5p1
aac7p1,Other,solutions/Other/aac7p1.cpp,4841199,2022-09-15T01:54:26+00:00,CPP14,AC,0.032634654,3412.0,https://dmoj.ca/problem/aac7p1
ac19p2,Other,solutions/Other/ac19p2.cpp,5187324,2023-01-05T11:59:47+00:00,CPP14,AC,0.19362787,3544.0,https://dmoj.ca/problem/ac19p2
ac19p4,Other,solutions/Other/ac19p4.cpp,5477442,2023-04-16T16:50:32+00:00,CPP20,AC,6.565097238,3672.0,https://dmoj.ca/problem/ac19p4
ac20p1,Other,solutions/Other/ac20p1.py,6053965,2024-01-06T01:19:45+00:00,PYPY3,AC,2.144059273,62128.0,https://dmoj.ca/problem/ac20p1
acc3p2,Other,solutions/Other/acc3p2.cpp,5494415,2023-04-22T02:45:20+00:00,CPP14,AC,32.310577244,34396.0,https://dmoj.ca/problem/acc3p2
acc4p3,Other,solutions/Other/acc4p3.cpp,6172846,2024-02-11T02:18:59+00:00,CPP14,AC,0.08373139,3440.0,https://dmoj.ca/problem/acc4p3
acc4p6,Other,solutions/Other/acc4p6.cpp,5722630,2023-08-20T14:35:33+00:00,CPP14,AC,0.087332812,3316.0,https://dmoj.ca/problem/acc4p6
acc5p1,Other,solutions/Other/acc5p1.cpp,4940798,2022-10-15T20:08:31+00:00,CPP14,AC,0.337280622,3384.0,https://dmoj.ca/problem/acc5p1
acc6p1,Other,solutions/Other/acc6p1.cpp,4911565,2022-10-06T21:19:48+00:00,CPP14,AC,0.329900296,3412.0,https://dmoj.ca/problem/acc6p1
acc6p13,Other,solutions/Other/acc6p13.cpp,5498478,2023-04-24T02:37:28+00:00,CPP14,AC,0.003435642,3416.0,https://dmoj.ca/problem/acc6p13
acc6p2,Other,solutions/Other/acc6p2.cpp,4949573,2022-10-18T22:35:25+00:00,CPP14,AC,0.337724361,3436.0,https://dmoj.ca/problem/acc6p2
